"Date(UTC)","UnixTimeStamp","Value"
"6/12/2017","1497225600","292941"
"6/13/2017","1497312000","280054"
"6/14/2017","1497398400","250410"
"6/15/2017","1497484800","261617"
"6/16/2017","1497571200","248003"
"6/17/2017","1497657600","242022"
"6/18/2017","1497744000","245957"
"6/19/2017","1497830400","286209"
"6/20/2017","1497916800","308488"
"6/21/2017","1498003200","221289"
"6/22/2017","1498089600","284225"
"6/23/2017","1498176000","276012"
"6/24/2017","1498262400","250570"
"6/25/2017","1498348800","231135"
"6/26/2017","1498435200","316788"
"6/27/2017","1498521600","252995"
"6/28/2017","1498608000","274241"
"6/29/2017","1498694400","263791"
"6/30/2017","1498780800","252652"
"7/1/2017","1498867200","240465"
"7/2/2017","1498953600","248617"
"7/3/2017","1499040000","302032"
"7/4/2017","1499126400","281465"
"7/5/2017","1499212800","271606"
"7/6/2017","1499299200","258791"
"7/7/2017","1499385600","295389"
"7/8/2017","1499472000","248142"
"7/9/2017","1499558400","225189"
"7/10/2017","1499644800","302633"
"7/11/2017","1499731200","291677"
"7/12/2017","1499817600","283828"
"7/13/2017","1499904000","260745"
"7/14/2017","1499990400","249381"
"7/15/2017","1500076800","231961"
"7/16/2017","1500163200","249138"
"7/17/2017","1500249600","248473"
"7/18/2017","1500336000","271055"
"7/19/2017","1500422400","270122"
"7/20/2017","1500508800","250065"
"7/21/2017","1500595200","232560"
"7/22/2017","1500681600","205574"
"7/23/2017","1500768000","260490"
"7/24/2017","1500854400","263095"
"7/25/2017","1500940800","242956"
"7/26/2017","1501027200","223010"
"7/27/2017","1501113600","225435"
"7/28/2017","1501200000","246494"
"7/29/2017","1501286400","198773"
"7/30/2017","1501372800","206624"
"7/31/2017","1501459200","250090"
"8/1/2017","1501545600","218582"
"8/2/2017","1501632000","231068"
"8/3/2017","1501718400","236335"
"8/4/2017","1501804800","257160"
"8/5/2017","1501891200","261400"
"8/6/2017","1501977600","265127"
"8/7/2017","1502064000","281172"
"8/8/2017","1502150400","318866"
"8/9/2017","1502236800","280308"
"8/10/2017","1502323200","338241"
"8/11/2017","1502409600","356682"
"8/12/2017","1502496000","338654"
"8/13/2017","1502582400","333011"
"8/14/2017","1502668800","410061"
"8/15/2017","1502755200","413246"
"8/16/2017","1502841600","413624"
"8/17/2017","1502928000","428007"
"8/18/2017","1503014400","443356"
"8/19/2017","1503100800","377418"
"8/20/2017","1503187200","309926"
"8/21/2017","1503273600","392880"
"8/22/2017","1503360000","364727"
"8/23/2017","1503446400","374711"
"8/24/2017","1503532800","352465"
"8/25/2017","1503619200","352621"
"8/26/2017","1503705600","306268"
"8/27/2017","1503792000","324173"
"8/28/2017","1503878400","363799"
"8/29/2017","1503964800","394649"
"8/30/2017","1504051200","400220"
"8/31/2017","1504137600","384421"
"9/1/2017","1504224000","390997"
"9/2/2017","1504310400","331797"
"9/3/2017","1504396800","302525"
"9/4/2017","1504483200","442592"
"9/5/2017","1504569600","444572"
"9/6/2017","1504656000","496376"
"9/7/2017","1504742400","448347"
"9/8/2017","1504828800","463670"
"9/9/2017","1504915200","383654"
"9/10/2017","1505001600","325128"
"9/11/2017","1505088000","365384"
"9/12/2017","1505174400","404898"
"9/13/2017","1505260800","365679"
"9/14/2017","1505347200","380251"
"9/15/2017","1505433600","441767"
"9/16/2017","1505520000","373764"
"9/17/2017","1505606400","289517"
"9/18/2017","1505692800","362764"
"9/19/2017","1505779200","337752"
"9/20/2017","1505865600","324984"
"9/21/2017","1505952000","317074"
"9/22/2017","1506038400","271470"
"9/23/2017","1506124800","260107"
"9/24/2017","1506211200","280929"
"9/25/2017","1506297600","306614"
"9/26/2017","1506384000","306075"
"9/27/2017","1506470400","309047"
"9/28/2017","1506556800","329208"
"9/29/2017","1506643200","326502"
"9/30/2017","1506729600","295798"
"10/1/2017","1506816000","283871"
"10/2/2017","1506902400","306095"
"10/3/2017","1506988800","327906"
"10/4/2017","1507075200","307399"
"10/5/2017","1507161600","314808"
"10/6/2017","1507248000","319882"
"10/7/2017","1507334400","291091"
"10/8/2017","1507420800","296829"
"10/9/2017","1507507200","328172"
"10/10/2017","1507593600","349605"
"10/11/2017","1507680000","344305"
"10/12/2017","1507766400","363411"
"10/13/2017","1507852800","379136"
"10/14/2017","1507939200","332169"
"10/15/2017","1508025600","328921"
"10/16/2017","1508112000","408297"
"10/17/2017","1508198400","505611"
"10/18/2017","1508284800","470449"
"10/19/2017","1508371200","494184"
"10/20/2017","1508457600","546837"
"10/21/2017","1508544000","462902"
"10/22/2017","1508630400","435493"
"10/23/2017","1508716800","468168"
"10/24/2017","1508803200","492288"
"10/25/2017","1508889600","460419"
