Date,Open,High,Low,Close,Adj Close,Volume
2021-01-18,0.088996,0.094857,0.084408,0.091503,0.091503,766513
2021-01-19,0.091478,0.092751,0.083539,0.084061,0.084061,3109247
2021-01-20,0.084497,0.099210,0.081416,0.094539,0.094539,2924243
2021-01-21,0.094525,0.098660,0.085330,0.086284,0.086284,3347550
2021-01-22,0.086708,0.092060,0.080172,0.087490,0.087490,2921470
2021-01-23,0.087284,0.097501,0.086104,0.096131,0.096131,2715844
2021-01-24,0.096162,0.100695,0.089487,0.091757,0.091757,2214346
2021-01-25,0.091751,0.099037,0.087103,0.088647,0.088647,2172345
2021-01-26,0.088643,0.107085,0.085394,0.107021,0.107021,5224703
2021-01-27,0.106561,0.107876,0.095568,0.096260,0.096260,911279
2021-01-28,0.096256,0.098402,0.093135,0.097417,0.097417,3337412
2021-01-29,0.094309,0.097919,0.089174,0.092550,0.092550,4058788
2021-01-30,0.092343,0.105213,0.090563,0.094793,0.094793,7365340
2021-01-31,0.094721,0.109815,0.092613,0.102706,0.102706,6879306
2021-02-01,0.102714,0.103836,0.097348,0.101578,0.101578,9946793
2021-02-02,0.101557,0.103273,0.099583,0.101245,0.101245,4228758
2021-02-03,0.101224,0.110909,0.099785,0.106676,0.106676,3825947
2021-02-04,0.106716,0.118995,0.104434,0.116651,0.116651,5531935
2021-02-05,0.116656,0.126591,0.114021,0.121674,0.121674,4809590
2021-02-06,0.121350,0.121848,0.109696,0.111887,0.111887,3442960
2021-02-07,0.111879,0.114976,0.104832,0.110566,0.110566,1833662
2021-02-08,0.110863,0.119987,0.108377,0.117139,0.117139,3827914
2021-02-09,0.117622,0.127739,0.115448,0.123193,0.123193,3811216
2021-02-10,0.123189,0.132505,0.116369,0.129757,0.129757,3863716
2021-02-11,0.130148,0.141818,0.129060,0.137202,0.137202,5303991
2021-02-12,0.137578,0.164552,0.134920,0.160245,0.160245,6348118
2021-02-13,0.160054,0.174992,0.155679,0.167714,0.167714,6686647
2021-02-14,0.167736,0.170760,0.147798,0.154868,0.154868,6345693
2021-02-15,0.154877,0.159624,0.136869,0.152529,0.152529,7054905
2021-02-16,0.152465,0.167191,0.148480,0.153982,0.153982,5853532
2021-02-17,0.153907,0.159533,0.146187,0.154006,0.154006,6066336
2021-02-18,0.154415,0.182713,0.154161,0.177152,0.177152,7418921
2021-02-19,0.176899,0.182987,0.173572,0.176900,0.176900,5978934
2021-02-20,0.177197,0.205534,0.172860,0.189779,0.189779,10395328
2021-02-21,0.190203,0.235601,0.187376,0.192497,0.192497,4511589
2021-02-22,0.192642,0.196897,0.146331,0.169180,0.169180,1377741
2021-02-23,0.169051,0.169561,0.122126,0.136667,0.136667,3241209
2021-02-24,0.137056,0.152514,0.131702,0.140367,0.140367,3175041
2021-02-25,0.140109,0.156597,0.134387,0.137187,0.137187,4109761
2021-02-26,0.136901,0.153288,0.125781,0.142668,0.142668,5758961
2021-02-27,null,null,null,null,null,null
2021-02-28,0.147097,0.153337,0.131248,0.150658,0.150658,1984562
2021-03-01,0.150712,0.171583,0.149377,0.157665,0.157665,4289664
2021-03-02,0.157169,0.163322,0.144916,0.148531,0.148531,3659474
2021-03-03,0.148529,0.164194,0.147461,0.156620,0.156620,4235181
2021-03-04,0.155114,0.172795,0.148019,0.167514,0.167514,4632710
